Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
POST     ; api/fileupload/store                                 ; fileupload.store                 ; App\Http\Controllers\FileUpload\FileUploadController@store                  ; api                                                  ;
GET|HEAD ; api/ico/{funcao}/{dado}                              ; ico.formatacao                   ; App\Http\Controllers\Ajuda\ICOController@formatacao                         ; api                                                  ;
DELETE   ; api/ligacao/destroy/{id}                             ; ligacao.destroy                  ; App\Http\Controllers\Subform\LigacaoController@destroy                      ; api                                                  ;
GET|HEAD ; api/ligacao/list/{proc}/{ref}/{ano?}                 ; ligacao.index.refano             ; App\Http\Controllers\Subform\LigacaoController@list                         ; api                                                  ;
POST     ; api/ligacao/store                                    ; ligacao.store                    ; App\Http\Controllers\Subform\LigacaoController@store                        ; api                                                  ;
GET|HEAD ; api/localapresentacao/{nome}                         ; localapresentacao.search         ; App\Http\Controllers\Apresentacao\LocalController@search                    ; api                                                  ;
DELETE   ; api/medalha/destroy/{id}                             ; medalha.destroy                  ; App\Http\Controllers\Policiais\MedalhaController@destroyAPI                 ; api                                                  ;
GET|HEAD ; api/medalha/list/{rg}                                ; medalha.list                     ; App\Http\Controllers\Policiais\MedalhaController@list                       ; api                                                  ;
POST     ; api/medalha/store                                    ; medalha.store                    ; App\Http\Controllers\Policiais\MedalhaController@storeAPI                   ; api                                                  ;
PUT      ; api/medalha/update/{id}                              ; medalha.update                   ; App\Http\Controllers\Policiais\MedalhaController@updateAPI                  ; api                                                  ;
DELETE   ; api/membros/destroy/{id}                             ; membros.destroy                  ; App\Http\Controllers\Subform\MembroController@destroy                       ; api                                                  ;
GET|HEAD ; api/membros/list/{proc}/{id}/{situacao}              ; membros.index                    ; App\Http\Controllers\Subform\MembroController@list                          ; api                                                  ;
POST     ; api/membros/store                                    ; membros.store                    ; App\Http\Controllers\Subform\MembroController@store                         ; api                                                  ;
DELETE   ; api/movimento/destroy/{id}                           ; movimento.destroy                ; App\Http\Controllers\Subform\MovimentoController@destroy                    ; api                                                  ;
GET|HEAD ; api/movimento/list/{proc}/{id}                       ; movimento.index                  ; App\Http\Controllers\Subform\MovimentoController@list                       ; api                                                  ;
POST     ; api/movimento/store                                  ; movimento.store                  ; App\Http\Controllers\Subform\MovimentoController@store                      ; api                                                  ;
DELETE   ; api/preso/destroy/{id}                               ; preso.destroy                    ; App\Http\Controllers\Policiais\PresoController@destroyAPI                   ; api                                                  ;
GET|HEAD ; api/preso/estaPreso/{rg}                             ; preso.estaPreso                  ; App\Http\Controllers\Policiais\PresoController@estaPreso                    ; api                                                  ;
GET|HEAD ; api/preso/list/{rg}                                  ; preso.list                       ; App\Http\Controllers\Policiais\PresoController@list                         ; api                                                  ;
POST     ; api/preso/store                                      ; preso.store                      ; App\Http\Controllers\Policiais\PresoController@storeAPI                     ; api                                                  ;
